timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751312108138,730,HTTP Request,200,OK,Thread Group 1-9,text,true,,6349,140,9,9,http://automationexercise.com/api/productsList,730,0,0
1751312108236,897,HTTP Request,200,OK,Thread Group 1-5,text,true,,6345,140,9,9,http://automationexercise.com/api/productsList,896,0,0
1751312108237,918,HTTP Request,200,OK,Thread Group 1-1,text,true,,6341,140,9,9,http://automationexercise.com/api/productsList,918,0,0
1751312108447,708,HTTP Request,200,OK,Thread Group 1-8,text,true,,6345,140,9,9,http://automationexercise.com/api/productsList,708,0,0
1751312108539,616,HTTP Request,200,OK,Thread Group 1-7,text,true,,6343,140,9,9,http://automationexercise.com/api/productsList,616,0,0
1751312108529,1010,HTTP Request,200,OK,Thread Group 1-10,text,true,,6347,140,8,8,http://automationexercise.com/api/productsList,1010,0,0
1751312108744,891,HTTP Request,200,OK,Thread Group 1-4,text,true,,6341,140,8,8,http://automationexercise.com/api/productsList,891,0,0
1751312108847,795,HTTP Request,200,OK,Thread Group 1-6,text,true,,6349,140,8,8,http://automationexercise.com/api/productsList,795,0,0
1751312108867,780,HTTP Request,200,OK,Thread Group 1-9,text,true,,6339,140,8,8,http://automationexercise.com/api/productsList,779,0,0
1751312108737,1010,HTTP Request,200,OK,Thread Group 1-3,text,true,,6345,140,8,8,http://automationexercise.com/api/productsList,1010,0,0
1751312109133,804,HTTP Request,200,OK,Thread Group 1-5,text,true,,6347,140,8,8,http://automationexercise.com/api/productsList,804,0,0
1751312109156,982,HTTP Request,200,OK,Thread Group 1-8,text,true,,6343,140,8,8,http://automationexercise.com/api/productsList,982,0,0
1751312109156,989,HTTP Request,200,OK,Thread Group 1-7,text,true,,6345,140,8,8,http://automationexercise.com/api/productsList,989,0,0
1751312109635,617,HTTP Request,200,OK,Thread Group 1-4,text,true,,6337,140,8,8,http://automationexercise.com/api/productsList,617,0,0
1751312109647,685,HTTP Request,200,OK,Thread Group 1-9,text,true,,6335,140,8,8,http://automationexercise.com/api/productsList,685,0,0
1751312109540,804,HTTP Request,200,OK,Thread Group 1-10,text,true,,6345,140,8,8,http://automationexercise.com/api/productsList,804,0,0
1751312109643,987,HTTP Request,200,OK,Thread Group 1-6,text,true,,6347,140,8,8,http://automationexercise.com/api/productsList,987,0,0
1751312109937,699,HTTP Request,200,OK,Thread Group 1-5,text,true,,6353,140,8,8,http://automationexercise.com/api/productsList,699,0,0
1751312110138,594,HTTP Request,200,OK,Thread Group 1-8,text,true,,6345,140,8,8,http://automationexercise.com/api/productsList,593,0,0
1751312110145,603,HTTP Request,200,OK,Thread Group 1-7,text,true,,6343,140,8,8,http://automationexercise.com/api/productsList,603,0,0
1751312110253,500,HTTP Request,200,OK,Thread Group 1-4,text,true,,6343,140,8,8,http://automationexercise.com/api/productsList,500,0,0
1751312109748,1189,HTTP Request,200,OK,Thread Group 1-3,text,true,,6341,140,8,8,http://automationexercise.com/api/productsList,1188,0,0
1751312110344,702,HTTP Request,200,OK,Thread Group 1-10,text,true,,6343,140,8,8,http://automationexercise.com/api/productsList,702,0,0
1751312110630,679,HTTP Request,200,OK,Thread Group 1-6,text,true,,6345,140,8,8,http://automationexercise.com/api/productsList,679,0,0
1751312110333,1004,HTTP Request,200,OK,Thread Group 1-9,text,true,,6337,140,8,8,http://automationexercise.com/api/productsList,1004,0,0
1751312110636,707,HTTP Request,200,OK,Thread Group 1-5,text,true,,6345,140,8,8,http://automationexercise.com/api/productsList,707,0,0
1751312110732,704,HTTP Request,200,OK,Thread Group 1-8,text,true,,6343,140,8,8,http://automationexercise.com/api/productsList,704,0,0
1751312110748,691,HTTP Request,200,OK,Thread Group 1-7,text,true,,6339,140,8,8,http://automationexercise.com/api/productsList,691,0,0
1751312110754,787,HTTP Request,200,OK,Thread Group 1-4,text,true,,6339,140,8,8,http://automationexercise.com/api/productsList,787,0,0
1751312110937,805,HTTP Request,200,OK,Thread Group 1-3,text,true,,6347,140,7,7,http://automationexercise.com/api/productsList,805,0,0
1751312111309,629,HTTP Request,200,OK,Thread Group 1-6,text,true,,6345,140,6,6,http://automationexercise.com/api/productsList,629,0,0
1751312111337,701,HTTP Request,200,OK,Thread Group 1-9,text,true,,6339,140,6,6,http://automationexercise.com/api/productsList,701,0,0
1751312111046,997,HTTP Request,200,OK,Thread Group 1-10,text,true,,6343,140,6,6,http://automationexercise.com/api/productsList,997,0,0
1751312111344,716,HTTP Request,200,OK,Thread Group 1-5,text,true,,6345,140,6,6,http://automationexercise.com/api/productsList,715,0,0
1751312111436,624,HTTP Request,200,OK,Thread Group 1-8,text,true,,6341,140,6,6,http://automationexercise.com/api/productsList,624,0,0
1751312111440,721,HTTP Request,200,OK,Thread Group 1-7,text,true,,6351,140,6,6,http://automationexercise.com/api/productsList,721,0,0
1751312112039,506,HTTP Request,200,OK,Thread Group 1-9,text,true,,6335,140,6,6,http://automationexercise.com/api/productsList,506,0,0
1751312111939,620,HTTP Request,200,OK,Thread Group 1-6,text,true,,6345,140,6,6,http://automationexercise.com/api/productsList,620,0,0
1751312112060,677,HTTP Request,200,OK,Thread Group 1-8,text,true,,6347,140,6,6,http://automationexercise.com/api/productsList,677,0,0
1751312112161,576,HTTP Request,200,OK,Thread Group 1-7,text,true,,6343,140,6,6,http://automationexercise.com/api/productsList,576,0,0
1751312112060,684,HTTP Request,200,OK,Thread Group 1-5,text,true,,6345,140,6,6,http://automationexercise.com/api/productsList,684,0,0
1751312112043,797,HTTP Request,200,OK,Thread Group 1-10,text,true,,6347,140,5,5,http://automationexercise.com/api/productsList,797,0,0
1751312112559,577,HTTP Request,200,OK,Thread Group 1-6,text,true,,6341,140,5,5,http://automationexercise.com/api/productsList,577,0,0
1751312112546,703,HTTP Request,200,OK,Thread Group 1-9,text,true,,6341,140,4,4,http://automationexercise.com/api/productsList,703,0,0
1751312112738,512,HTTP Request,200,OK,Thread Group 1-7,text,true,,6347,140,4,4,http://automationexercise.com/api/productsList,512,0,0
1751312112738,517,HTTP Request,200,OK,Thread Group 1-8,text,true,,6355,140,3,3,http://automationexercise.com/api/productsList,517,0,0
1751312112840,594,HTTP Request,200,OK,Thread Group 1-10,text,true,,6349,140,3,3,http://automationexercise.com/api/productsList,594,0,0
1751312113250,383,HTTP Request,200,OK,Thread Group 1-9,text,true,,6349,140,3,3,http://automationexercise.com/api/productsList,383,0,0
1751312113256,389,HTTP Request,200,OK,Thread Group 1-8,text,true,,6347,140,3,3,http://automationexercise.com/api/productsList,389,0,0
1751312113435,327,HTTP Request,200,OK,Thread Group 1-10,text,true,,6343,140,2,2,http://automationexercise.com/api/productsList,327,0,0
1751312113633,210,HTTP Request,200,OK,Thread Group 1-9,text,true,,6351,140,2,2,http://automationexercise.com/api/productsList,209,0,0
1751312113762,152,HTTP Request,200,OK,Thread Group 1-10,text,true,,6345,140,1,1,http://automationexercise.com/api/productsList,152,0,0
1751312113914,128,HTTP Request,200,OK,Thread Group 1-10,text,true,,6345,140,1,1,http://automationexercise.com/api/productsList,128,0,0
